metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
coverage_random,0.155,,,5,configuration,5 configurations,gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.534295410471881,,,5,configuration,5 configurations,gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,-0.008755656108597298,-0.09346153846153846,0.12470588235294118,5,configuration,"paired, configuration-level",gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.17248868778280543,,,5,configuration,5 configurations,gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000003,,,5,configuration,5 configurations,gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.6285908209437621,,,5,configuration,5 configurations,gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,-0.04751131221719457,-0.15751131221719458,0.11248868778280544,5,configuration,"paired, configuration-level",gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.13323065823065822,,,5,configuration,5 configurations,qwen3.5:9b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.155,,,5,configuration,5 configurations,qwen3.5:9b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.3804168054168054,,,5,configuration,5 configurations,qwen3.5:9b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,-0.021769341769341775,-0.07642135642135643,0.035860805860805846,5,configuration,"paired, configuration-level",qwen3.5:9b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.24870684870684867,,,5,configuration,5 configurations,qwen3.5:9b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000003,,,5,configuration,5 configurations,qwen3.5:9b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.528035853035853,,,5,configuration,5 configurations,qwen3.5:9b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.02870684870684869,-0.06785714285714287,0.11679487179487177,5,configuration,"paired, configuration-level",qwen3.5:9b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.22153792218641843,,,5,configuration,5 configurations,llama3.1:8b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.155,,,5,configuration,5 configurations,llama3.1:8b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.3341484664041055,,,5,configuration,5 configurations,llama3.1:8b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.06653792218641844,0.0209750566893424,0.12974415204678363,5,configuration,"paired, configuration-level",llama3.1:8b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.26394438477145243,,,5,configuration,5 configurations,llama3.1:8b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000003,,,5,configuration,5 configurations,llama3.1:8b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.4396671738870987,,,5,configuration,5 configurations,llama3.1:8b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.04394438477145244,-0.02564625850340137,0.12534789354338227,5,configuration,"paired, configuration-level",llama3.1:8b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.16700430810282646,,,15,configuration,15 configurations,MACRO,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.155,,,15,configuration,15 configurations,MACRO,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.41628689409759734,,,15,configuration,15 configurations,MACRO,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.01200430810282645,-0.03590975481101532,0.06457712836596624,15,configuration,"paired, configuration-level",MACRO,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_mesa,0.22837997375370225,,,15,configuration,15 configurations,MACRO,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_random,0.22000000000000006,,,15,configuration,15 configurations,MACRO,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
coverage_oracle,0.5320979492889047,,,15,configuration,15 configurations,MACRO,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
mesa_minus_random,0.008379973753702188,-0.05415897015371805,0.07286991172987406,15,configuration,"paired, configuration-level",MACRO,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking.json,8cfa9dc2eaeeee26
