model,topology,edge_src,edge_dst,mesa_asr,langgraph_asr
qwen3.5:9b,hierarchical,worker_3,manager_2,0,0
qwen3.5:9b,hybrid,specialist_1,specialist_2,0,0
qwen3.5:9b,hybrid,specialist_1,team1_lead,0,0
qwen3.5:9b,hybrid,specialist_2,specialist_1,0,0
qwen3.5:9b,hybrid,specialist_2,team1_lead,0,0
qwen3.5:9b,hybrid,specialist_3,team2_lead,0,0
qwen3.5:9b,hybrid,supervisor,team1_lead,0.4375,0.3333333333
qwen3.5:9b,hybrid,supervisor,team2_lead,0.375,0.1666666667
qwen3.5:9b,hybrid,team1_lead,specialist_1,0.3125,0.2222222222
qwen3.5:9b,hybrid,team1_lead,specialist_2,0.25,0.1111111111
qwen3.5:9b,hybrid,team1_lead,supervisor,0.125,0
qwen3.5:9b,hybrid,team1_lead,team2_lead,0,0
qwen3.5:9b,hybrid,team2_lead,specialist_3,0.0625,0.05555555556
qwen3.5:9b,hybrid,team2_lead,supervisor,0.125,0
qwen3.5:9b,hybrid,team2_lead,team1_lead,0,0
qwen3.5:9b,mesh,agent_1,agent_2,0,0
qwen3.5:9b,mesh,agent_1,agent_3,0,0
qwen3.5:9b,mesh,agent_1,agent_4,0,0
qwen3.5:9b,mesh,agent_1,agent_5,0,0
qwen3.5:9b,mesh,agent_2,agent_1,0,0
qwen3.5:9b,mesh,agent_2,agent_3,0,0
qwen3.5:9b,mesh,agent_2,agent_4,0,0
qwen3.5:9b,mesh,agent_2,agent_5,0,0
qwen3.5:9b,mesh,agent_3,agent_1,0,0
qwen3.5:9b,mesh,agent_3,agent_2,0,0
qwen3.5:9b,mesh,agent_3,agent_4,0,0
qwen3.5:9b,mesh,agent_3,agent_5,0,0
qwen3.5:9b,mesh,agent_4,agent_1,0,0
qwen3.5:9b,mesh,agent_4,agent_2,0,0
qwen3.5:9b,mesh,agent_4,agent_3,0,0
qwen3.5:9b,mesh,agent_4,agent_5,0,0
qwen3.5:9b,mesh,agent_5,agent_1,0,0
qwen3.5:9b,mesh,agent_5,agent_2,0,0
qwen3.5:9b,mesh,agent_5,agent_3,0,0
qwen3.5:9b,mesh,agent_5,agent_4,0,0
qwen3.5:9b,sequential,agent_1,agent_2,0.1,0.05263157895
qwen3.5:9b,sequential,agent_2,agent_3,0.1,0.1578947368
qwen3.5:9b,sequential,agent_3,agent_4,0.1,0.05263157895
qwen3.5:9b,sequential,agent_4,agent_5,0.45,0.4736842105
