metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
coverage_oracle,0.3931598056725391,,,5,configuration,5 configurations; predeclared budget; carries inference,qwen3.5:9b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.16404184030457375,0.05901356213113427,0.30385700321184195,5,configuration,"paired, configuration-level; sign-flip p=0.06250 (min attainable 0.06250)",qwen3.5:9b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.38679625658721584,,,5,configuration,5 configurations; predeclared budget; carries inference,qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.22000000000000003,,,5,configuration,5 configurations; predeclared budget; carries inference,qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.5055451035947641,,,5,configuration,5 configurations; predeclared budget; carries inference,qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.1667962565872158,0.05899294607486456,0.308188800446865,5,configuration,"paired, configuration-level; sign-flip p=0.06250 (min attainable 0.06250)",qwen3.5:9b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.5933541147590383,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.375,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.6928478086712382,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.6515398007482048,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.44000000000000006,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.7644916359814492,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.6812825042812308,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.52,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8241048184978575,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.7466613495799617,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.635,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8956660805238904,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.9010428173623207,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.8550000000000001,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9668221966205838,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
